miRNA名称,Adrenocortical carcinoma,Bladder urothelial carcinoma,Breast invasive carcinoma,Cervical and endocervical cancers,Cholangiocarcinoma,Colon adenocarcinoma,Colorectal adenocarcinom,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,Esophageal carcinoma,FFPE Pilot Phase Ⅱ,Glioblastoma multiforme,Glioma,Head  and Neck squamous cell carcinoma,Kidney Chromophobe,Kidney renal clear cell carcinoma,Kidney renal papillary cell carcinoma,Brain Lower Grade Glioma,Liver hepatocellular carcinoma,Lung adenocarcinoma,Lung squamous cell carcinoma,Mesothelioma,Ovarian serous cystadenocarcinoma,Pancreatic adenocarcinoma,Pheochromocytoma and Paraganglioma,Prostate adenocarcinoma,Rectum adenocarcinoma,Sarcoma,Skin Cutaneous Melanoma,Stomach adenocarcinoma,Stomach and Esophageal carcinoma,Testicular Germ Cell Tumors,Thyroid carcinoma,Thymoma,Uterine Corpus Endometrial Carcinoma,Uterine Carcinosarcoma
hsa-miR-199b-5p,40.51,161.56,304.41,185.56,99.12,73.8,77.57,98.8,149.72,222.81,4.96,5.87,179.26,14.58,14.46,10.81,5.88,25.66,153.0,265.35,262.51,6.41,395.76,13.82,167.11,88.54,844.29,158.83,166.76,161.39,665.2,88.06,100.15,152.1,1128.37
hsa-miR-181c-5p,2382.22,1851.61,1970.67,2216.03,2324.34,1687.01,1762.81,3008.38,1813.22,1263.06,3058.67,1505.98,2186.2,1814.66,1522.39,1416.65,1491.22,2445.5,3131.96,2249.3,2069.43,744.22,2159.45,1641.73,1876.03,1983.24,4641.92,2701.18,2077.21,1993.98,2356.82,3742.57,4779.21,1995.52,1817.36
hsa-miR-26a-5p,2383.22,1851.61,1970.67,2216.03,2324.34,1687.01,1762.81,3008.38,1813.22,1263.06,3058.67,1505.98,2186.2,1814.66,1522.39,1416.65,1491.22,2445.5,3131.96,2249.3,2069.43,744.22,2159.45,1641.73,1876.03,1983.24,4641.92,2701.18,2077.21,1993.98,2356.82,3742.57,4779.21,1995.52,1817.36
hsa-miR-34c-5p,5.55,9.64,9.99,19.35,4.14,1.87,1.86,4.79,18.84,66.36,10.31,28.14,30.08,2.14,3.9,3.94,28.31,2.74,73.46,77.54,6.83,8.86,6.56,5.71,6.31,1.83,15.71,19.06,2.77,7.84,26.45,4.12,110.69,113.61,26.79
hsa-miR-224-5p,81.53,147.52,58.0,188.0,69.31,67.22,74.15,9.39,138.37,191.83,0.41,1.22,159.32,4.71,28.66,9.38,1.22,175.19,55.72,182.44,77.88,61.69,36.67,10.18,7.67,94.32,117.52,16.53,32.8,66.09,32.63,17.9,36.28,25.65,85.27
hsa-miR-30a-5p,12323.49,9891.23,48386.64,9660.47,41600.49,3204.38,3170.57,6661.42,12973.33,49657.32,20706.4,21394.95,8514.5,116090.59,124505.42,157614.76,21401.5,19109.22,17123.76,21883.1,31569.79,3977.64,18043.51,10253.44,25883.17,3072.25,13047.66,11499.05,11205.92,11763.16,8320.67,72297.92,10938.49,27605.51,23636.38
hsa-miR-539-5p,337.58,5.74,10.73,2.91,9.68,4.36,5.25,4.64,4.16,7.91,110.21,24.17,4.74,2.71,5.04,1.17,23.36,16.57,6.07,6.32,14.62,4.9,28.94,458.07,2.93,7.84,59.8,6.53,6.49,5.75,141.75,1.59,25.22,4.79,78.52
hsa-miR-186-5p,232.16,258.52,316.04,253.13,203.46,201.85,291.41,445.88,247.33,274.1,287.85,139.02,217.79,110.66,256.13,165.97,137.61,325.54,266.63,285.02,280.51,133.19,183.77,169.9,185.64,270.49,316.47,703.76,259.94,255.96,353.06,299.36,549.27,373.65,508.98
hsa-miR-22-3p,177825.31,86935.77,75484.65,62819.98,126417.93,43033.42,42570.29,80024.1,63108.01,81866.41,84088.13,33741.44,100247.22,136190.23,66063.3,72302.09,33262.86,149712.81,75740.61,101083.57,138160.49,8153.27,101489.87,97145.58,50792.66,41223.54,102053.53,87435.82,64780.07,64252.89,84983.9,101195.68,75458.66,44592.55,36111.93
hsa-miR-200b-3p,4.45,1621.46,668.02,1243.73,700.5,2127.46,2179.85,29.74,1848.0,1742.93,5.05,2.24,765.99,596.47,238.66,665.27,2.21,149.13,733.05,813.27,64.35,963.61,1127.64,6.97,712.02,2332.18,33.02,22.6,1995.97,1949.32,86.54,960.76,1799.67,1887.48,938.57
hsa-miR-34a-5p,489.53,227.28,148.33,175.65,240.09,108.89,108.1,207.01,148.78,195.8,109.79,86.04,125.41,82.26,225.85,330.77,85.82,356.71,226.08,185.25,233.43,44.93,146.12,136.78,83.37,105.82,154.9,304.06,179.79,170.01,229.61,454.43,269.56,194.68,70.25
hsa-miR-29b-3p,1467.09,801.87,610.93,540.77,951.27,533.65,609.61,2374.65,724.7,720.55,2370.83,685.3,580.09,956.57,577.96,549.3,669.28,676.95,913.43,724.3,1162.46,8.26,757.6,1978.26,453.08,830.49,414.24,571.07,906.19,848.96,834.85,1739.61,2247.41,429.05,338.45
hsa-miR-216a-5p,1.92,1.36,0.64,0.26,6.34,1.14,1.19,0.3,3.06,0.41,1.61,3.04,0.37,0.86,1.51,1.06,3.05,47.52,1.21,0.55,1.58,0.06,71.2,1.45,0.56,1.31,9.14,0.5,1.4,1.92,4.95,1.16,0.63,0.65,0.75
hsa-miR-361-5p,363.8,305.64,209.47,262.17,226.03,323.52,334.06,224.85,252.07,240.75,632.39,236.32,239.28,230.44,172.72,231.8,232.55,338.86,227.46,270.2,233.58,551.86,201.34,588.68,192.34,364.73,341.74,636.4,238.77,242.97,498.83,311.57,577.3,285.4,349.43
hsa-miR-330-5p,44.13,41.19,36.03,41.4,15.31,43.14,40.21,68.94,21.96,31.8,199.77,47.68,38.72,8.15,15.3,8.83,46.24,16.45,41.05,38.31,12.26,59.21,23.5,42.67,6.94,31.69,9.94,79.39,32.72,29.33,20.31,20.63,21.06,34.53,20.49
hsa-miR-520d-3p,0.04,6.96,0.11,0.08,0.07,0.02,0.02,0.18,1.12,20.86,0.16,0.02,0.32,0.06,0.02,0.16,0.02,3.78,0.97,0.37,0.02,0.33,0.04,0.02,0.01,0.02,0.7,6.99,1.85,1.62,93.83,0.64,67.53,0.04,0.32
hsa-miR-23a-3p,2615.1,3140.4,3218.56,3788.38,3974.7,2809.64,2739.0,2991.89,2758.85,4505.42,489.52,736.25,4861.52,2049.45,2223.14,2612.16,738.59,1546.4,3140.48,4530.89,3654.1,2807.89,3415.7,3880.09,1350.21,2533.58,4035.22,7292.67,2706.8,2723.21,1691.04,3524.63,3663.54,3173.48,2088.34
hsa-miR-133b,0.24,6.32,9.3,1.48,0.6,8.61,8.39,4.57,3.86,1.61,2.38,0.67,102.81,0.68,0.77,0.4,0.65,0.45,1.47,1.42,2.69,2.64,1.06,0.63,23.44,7.73,16.93,1.91,9.58,7.78,5.42,4.02,0.61,2.46,357.69
hsa-miR-152-3p,109.72,223.91,260.48,283.91,209.85,234.48,243.81,147.59,196.92,184.33,129.37,126.74,428.47,195.02,214.63,219.51,126.72,367.98,2337.93,387.59,264.43,41.66,263.05,296.28,238.01,270.91,355.77,481.96,188.17,190.93,376.08,432.18,318.3,142.27,213.7
hsa-let-7d-5p,251.04,246.79,221.45,261.99,136.15,176.34,189.57,263.19,234.47,177.35,399.32,164.44,208.24,173.1,248.88,166.4,162.21,198.96,230.26,239.48,193.31,534.39,152.14,271.02,141.92,228.06,245.74,516.01,250.61,245.52,159.45,431.34,402.37,319.41,167.75
hsa-miR-23b-3p,495.03,1224.73,755.76,1402.01,1626.26,901.98,936.46,333.59,1124.66,1202.54,1581.58,454.74,1540.72,1273.98,1252.44,1119.21,444.03,1632.65,1360.54,1593.39,1351.4,2053.03,1371.79,1290.14,1499.71,1036.72,1063.63,1307.1,1258.23,1216.11,557.93,2433.21,781.6,1248.38,760.28
hsa-miR-374a-5p,29.73,40.61,32.49,38.78,26.61,34.69,35.72,41.66,42.6,17.75,37.73,27.26,38.0,20.35,24.43,29.5,27.16,47.19,33.64,37.36,32.33,0.29,27.83,15.43,44.31,38.71,37.61,12.56,42.83,42.76,73.5,45.42,72.99,31.55,40.7
hsa-let-7i-5p,377.26,387.48,454.85,466.63,325.29,516.39,553.97,851.16,461.86,467.93,360.01,290.23,550.16,255.52,412.55,332.13,289.56,231.22,500.63,541.23,521.62,357.34,537.54,282.19,191.09,663.23,565.38,1176.44,453.82,456.35,670.99,2123.01,758.75,320.46,278.62
hsa-miR-218-5p,170.38,46.39,44.77,40.73,62.57,20.24,20.75,33.3,29.85,78.57,790.65,83.9,38.81,200.39,28.14,46.63,77.18,32.96,59.63,86.52,159.72,7.68,72.87,497.26,54.66,22.22,136.75,43.42,33.54,32.38,161.45,147.26,319.51,125.76,337.33
hsa-miR-214-3p,1.39,9.03,7.67,8.08,6.09,11.46,11.61,2.63,8.19,6.2,0.17,0.24,7.38,2.1,2.89,1.67,0.24,3.86,6.71,6.95,6.12,35.03,12.54,1.57,4.14,12.07,25.34,10.66,8.58,8.46,22.62,3.68,1.49,8.93,61.99
hsa-miR-363-3p,4.68,19.53,18.27,56.32,13.29,6.35,6.55,38.73,11.27,11.84,59.42,28.74,15.39,19.18,15.74,16.83,29.46,9.42,11.04,15.75,6.5,44.23,4.17,7.26,116.66,7.12,12.76,155.72,8.25,9.2,41.85,6.67,201.28,55.11,45.92
hsa-miR-135b-5p,1.41,27.94,22.56,63.25,32.42,55.16,71.74,7.42,63.85,36.38,1.29,2.16,48.68,3.16,11.57,28.19,2.16,3.44,61.26,37.21,20.38,6.04,60.61,1.22,1.13,119.94,6.37,15.04,59.02,60.54,85.32,238.85,18.16,153.75,159.42
hsa-miR-320c,0.97,1.04,1.05,1.43,0.95,1.01,1.03,0.58,1.12,1.23,0.34,0.92,0.89,0.29,0.97,0.6,0.93,0.97,0.93,1.01,0.9,6.78,0.74,2.03,0.56,1.09,1.45,4.55,1.11,1.11,1.68,0.81,2.02,1.69,1.9
hsa-miR-382-5p,295.89,20.52,24.26,12.77,24.7,14.57,14.71,8.78,14.76,20.03,179.02,34.07,19.08,5.02,5.76,2.73,32.7,30.68,14.43,20.86,36.71,23.32,50.15,566.4,6.92,15.11,141.71,25.24,17.8,16.84,389.3,4.42,66.05,10.84,113.7
hsa-miR-1297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-876-5p,0.2,0.16,0.03,0.09,0.01,0.01,0.01,0.02,0.12,0.03,4.83,0.43,0.09,0.04,0.03,0.05,0.39,0.02,0.07,0.14,0.13,0.0,0.08,0.59,0.04,0.01,0.22,0.34,0.03,0.06,0.6,0.2,0.15,0.2,0.69
hsa-miR-324-5p,56.1,42.04,26.55,23.63,19.62,12.31,12.98,53.45,24.54,44.48,46.27,23.87,23.93,11.75,20.74,21.0,23.65,24.08,26.74,37.57,28.34,52.19,20.33,46.87,12.09,14.93,23.57,76.16,26.21,25.68,39.5,36.38,39.89,42.89,71.41
hsa-miR-128-3p,153.09,159.62,132.94,185.65,141.65,139.05,128.35,344.86,115.78,195.6,11755.02,1899.41,202.86,106.67,80.89,145.48,1805.72,222.29,143.51,247.79,107.66,212.76,118.3,439.72,93.17,97.26,146.96,506.24,122.33,120.26,401.51,153.21,3453.41,260.86,532.0
hsa-miR-25-3p,6749.46,11550.75,10116.3,12958.77,6285.73,9103.3,8763.53,12678.52,11647.21,9634.47,3764.02,4397.52,10806.07,3167.81,4613.9,4871.46,4403.54,10108.27,7946.73,12627.66,5419.81,18840.3,4430.83,2388.28,6149.56,7775.54,6541.83,25831.23,8994.14,9830.62,19079.38,6603.32,14083.07,12115.13,19129.89
hsa-miR-193a-3p,2.87,10.74,19.34,14.31,11.57,5.15,4.89,6.36,9.36,9.08,1.64,1.44,11.35,4.13,9.01,6.27,1.44,17.54,6.91,10.67,22.97,1.83,6.72,1.73,7.65,4.16,9.26,7.78,8.87,9.03,13.62,8.97,6.96,12.75,9.44
hsa-miR-520a-3p,0.16,35.83,0.41,0.37,0.28,0.07,0.06,0.72,8.56,129.72,0.28,0.38,1.12,0.28,0.02,0.62,0.38,42.0,3.64,1.63,0.08,0.89,0.11,0.14,0.15,0.04,2.37,26.08,7.57,7.88,710.06,6.95,649.72,0.17,0.98
hsa-miR-135a-5p,7.98,3.98,4.21,1.08,3.22,0.25,0.29,1.82,1.96,1.96,21.97,37.97,0.65,6.98,16.28,9.23,38.12,5.72,1.44,0.97,1.02,1.33,11.08,16.61,31.72,0.41,3.6,0.33,2.75,2.5,18.82,719.3,8.35,15.9,16.65
hsa-miR-376a-3p,46.86,2.34,0.74,1.13,2.08,0.57,0.58,0.4,1.23,0.37,6.49,1.31,1.28,0.78,0.34,0.19,1.26,3.78,1.09,1.82,3.74,0.06,2.59,17.79,0.37,0.6,14.16,0.55,0.92,1.01,80.09,0.19,1.13,1.06,29.16
hsa-miR-106a-5p,4.92,20.73,19.27,46.53,10.78,12.74,12.31,61.78,17.32,16.93,29.78,20.45,18.1,13.59,15.42,15.16,20.36,12.67,13.19,22.72,9.97,5.67,4.12,4.69,100.22,11.04,12.79,81.4,14.49,15.38,77.26,7.83,222.5,49.04,105.63
hsa-miR-448,0.0,0.1,0.0,0.01,0.0,0.01,0.01,0.01,0.05,0.0,1.93,0.43,0.05,0.0,0.0,0.01,0.42,0.01,0.08,0.16,0.01,0.0,0.0,0.05,0.01,0.01,0.01,0.0,0.02,0.03,0.57,0.0,0.0,0.01,0.01
hsa-miR-362-3p,2.94,3.1,1.65,3.57,2.41,1.86,1.78,5.53,3.7,2.11,1.28,1.51,2.68,5.86,2.19,3.46,1.52,3.99,2.51,2.71,4.41,0.02,2.54,2.61,2.48,1.54,4.09,4.99,4.19,4.04,3.27,2.39,5.02,5.17,14.31
hsa-miR-138-5p,2.46,6.16,1.25,3.62,1.44,0.54,0.53,22.86,1.59,1.27,273.78,35.4,3.17,2.47,3.06,7.11,33.14,0.49,4.85,5.16,4.12,0.08,2.39,35.75,0.3,0.51,7.53,23.25,1.05,1.22,1.53,61.09,1.45,2.15,12.28
hsa-miR-24-3p,618.08,2554.44,1402.64,2818.21,1424.61,2882.43,2978.1,1035.85,2318.02,1594.71,1995.48,632.23,4080.52,846.11,1063.43,1227.45,619.27,1432.58,2018.8,2547.11,1702.33,1926.84,1561.69,2117.86,1151.97,3256.3,1167.08,2803.29,1781.42,1950.6,887.61,2192.26,1070.07,2193.24,1294.0
hsa-miR-140-5p,90.59,38.98,43.41,32.8,55.19,37.91,42.23,122.49,33.6,52.35,85.68,52.19,35.71,46.38,85.52,50.0,51.87,63.05,31.91,35.56,82.13,1.37,38.03,79.18,30.16,54.79,69.57,87.59,42.51,39.7,99.2,46.16,98.52,46.47,93.39
hsa-miR-153-3p,14.2,1.09,6.48,1.34,1.61,3.42,3.74,2.48,2.4,1.0,136.79,51.62,1.28,0.37,1.34,0.48,50.81,1.36,1.72,1.24,1.28,0.0,11.37,50.0,5.64,4.67,4.87,0.27,4.96,4.15,2.27,1.72,1.83,2.59,2.0
hsa-miR-422a,0.0,0.02,0.0,0.01,0.0,0.01,0.01,0.03,0.03,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.02,0.01,0.0,0.02,0.05,0.0,0.0,0.03,0.01,0.05,0.02,0.03,0.03,0.01,0.01,0.01,0.0,0.0
hsa-miR-92b-3p,66.52,92.01,141.56,168.35,51.65,86.08,82.67,44.13,105.56,307.6,807.58,1424.65,105.9,50.66,53.25,56.17,1430.52,19.49,219.93,146.94,100.96,3508.19,84.85,41.68,42.89,72.75,140.45,218.75,110.77,109.13,307.34,120.7,110.36,433.03,275.75
hsa-miR-338-3p,566.94,455.36,390.02,501.97,841.76,337.97,369.98,560.31,1090.09,596.65,35088.48,5842.14,422.95,158.08,354.66,153.26,5564.13,630.25,807.41,839.66,323.9,19.95,1238.48,2454.62,366.09,463.06,666.5,2093.22,1365.91,1278.95,830.16,620.3,390.94,314.7,1001.74
hsa-miR-429,0.63,393.05,110.07,205.26,112.88,336.46,335.07,6.72,268.67,234.84,0.95,0.34,110.25,72.42,40.2,97.11,0.34,26.38,126.17,148.92,9.59,6.76,207.23,1.42,97.55,331.03,4.62,1.08,379.74,345.04,21.09,124.14,240.27,467.64,214.51
hsa-miR-136-5p,956.1,23.52,33.59,20.93,55.55,11.09,12.22,16.81,18.38,22.38,243.3,44.05,24.02,11.48,12.27,6.2,42.16,46.26,21.7,27.99,80.62,0.43,79.07,1080.65,21.87,15.49,202.2,9.49,22.48,21.19,390.04,9.23,210.04,27.02,253.64
hsa-miR-148a-3p,45693.17,19305.18,50942.86,26649.01,50237.97,46115.02,50797.69,49376.93,31828.28,32590.92,1519.32,2050.68,27850.07,19922.01,23881.84,13349.47,2055.73,110397.67,44815.39,47972.29,36699.47,3164.5,39891.68,11764.74,59966.64,64414.42,20430.31,38661.96,44806.76,40714.82,51080.98,44958.95,74013.16,47460.32,37918.34
hsa-miR-615-3p,3.0,2.14,11.73,4.4,1.13,1.72,1.52,0.98,3.23,4.64,0.0,0.43,2.5,5.91,10.45,8.5,0.43,0.57,2.46,4.59,3.35,29.27,1.43,13.84,1.36,0.94,5.45,16.87,4.34,3.99,2.1,0.42,1.24,7.31,9.5
hsa-miR-26b-5p,477.88,739.63,723.72,715.12,700.86,512.52,580.41,711.38,694.84,329.13,705.34,409.37,633.4,292.52,809.29,519.48,406.56,1262.85,658.84,660.73,738.44,102.18,563.18,493.56,734.76,777.82,429.33,544.86,746.82,730.43,590.85,1399.66,1248.41,990.94,846.44
hsa-miR-542-3p,1884.23,300.44,283.15,298.98,282.9,160.33,155.74,151.71,184.34,250.39,159.6,207.74,229.91,315.97,400.51,272.16,208.2,280.2,264.1,211.1,359.23,2.7,259.13,182.01,115.62,142.38,762.86,434.21,171.25,175.38,942.06,1248.64,247.79,269.03,1149.88
hsa-miR-340-5p,20.39,13.9,18.52,18.22,14.17,16.35,16.76,21.74,19.19,9.84,186.53,41.72,17.62,7.23,16.19,16.13,40.34,38.51,22.55,13.07,19.97,0.52,11.96,24.92,17.53,17.94,20.29,48.74,15.22,16.48,31.04,14.74,21.6,17.92,28.59
hsa-miR-28-5p,46.32,119.73,95.01,108.02,120.85,76.32,81.06,151.84,118.54,94.52,47.71,37.11,82.93,60.34,79.82,94.25,37.01,163.68,108.01,122.12,73.57,24.86,88.3,52.29,138.99,94.87,137.72,164.32,140.67,133.69,107.16,60.34,191.92,127.11,94.17
hsa-miR-329-3p,19.77,1.32,0.83,0.84,1.16,0.68,0.66,0.4,0.98,0.72,84.22,9.36,0.88,0.26,0.27,0.16,8.65,1.73,0.74,1.2,2.37,2.46,2.26,60.91,0.65,0.6,9.74,1.4,0.86,0.9,20.95,0.21,1.93,1.04,14.13
hsa-miR-107,39.76,86.69,65.0,82.18,69.9,2049.82,2008.71,130.4,72.14,79.37,239.05,65.23,76.75,62.19,50.5,67.15,63.58,146.13,95.39,84.98,60.95,2252.81,53.68,96.05,32.47,1889.15,50.2,156.4,79.96,77.5,105.55,97.68,175.15,96.15,70.59
hsa-miR-125a-3p,3.79,9.47,4.92,7.08,3.82,3.15,2.89,1.96,3.89,5.97,5.26,2.39,6.45,3.97,2.76,2.23,2.37,2.02,6.46,5.03,4.87,40.4,4.66,5.62,1.85,2.15,4.67,12.77,4.1,4.03,14.57,7.7,4.07,8.45,7.69
hsa-miR-9-5p,18348.03,1960.31,3579.5,9599.07,302.6,323.16,294.24,7902.57,2284.76,3067.61,361948.33,639701.75,5008.62,1605.68,2435.28,2129.18,642341.99,1216.94,3185.2,6359.26,602.38,127.94,512.14,14803.64,1076.31,210.17,3129.32,13217.91,921.06,1351.02,9169.85,119.86,1809.16,24696.29,29985.76
hsa-miR-365a-3p,179.73,78.79,124.33,60.88,56.27,24.39,24.83,46.48,50.49,48.0,77.08,23.25,70.88,22.54,50.11,35.68,22.74,154.15,40.65,52.82,79.7,126.83,36.05,22.11,39.2,26.11,52.4,75.54,33.12,38.6,56.8,28.5,97.48,69.27,91.28
hsa-miR-32-5p,45.8,43.05,27.03,43.28,33.97,23.19,22.58,60.35,31.56,15.48,23.56,15.62,33.71,16.35,19.01,22.46,15.54,77.04,34.07,31.05,21.4,0.17,20.78,14.74,34.29,20.8,14.94,12.16,37.91,35.91,29.13,72.71,62.03,39.24,23.45
hsa-miR-215-5p,14.3,34.92,6.62,35.68,155.87,921.88,891.45,9.19,1418.82,108.85,2.78,1.58,3.21,13.31,54.11,26.51,1.57,186.07,36.15,3.47,3.72,0.23,196.14,16.89,1.02,802.96,7.03,5.9,1475.82,1457.85,235.53,3.54,6.46,13.18,68.53
hsa-miR-211-5p,0.15,0.3,0.22,0.17,0.38,0.02,0.03,1.07,0.12,0.24,9.8,2.13,0.55,1.83,0.84,3.57,2.06,1.16,0.36,0.35,0.26,2.89,0.09,0.03,0.09,0.04,14.33,3049.82,0.15,0.14,2.9,0.16,0.32,4.78,0.71
hsa-miR-221-3p,61.07,328.96,132.85,512.5,151.58,232.2,227.67,336.98,361.4,272.51,411.71,72.97,429.99,1270.46,99.22,144.15,69.75,131.38,319.19,368.66,274.67,438.48,333.33,23.98,209.78,214.2,475.04,635.04,367.83,365.8,213.07,1715.95,595.25,173.16,168.2
hsa-miR-206,3.16,1.26,38.23,0.81,1.04,0.71,0.99,50.26,2.37,1.14,1.5,1.48,2358.83,4.62,5.59,1.74,1.48,0.84,1.3,1.81,79.32,20.86,0.29,0.3,100.47,1.8,488.37,302.29,1.32,1.65,245.71,7.18,26.13,7.56,16413.02
hsa-miR-425-5p,185.46,458.82,396.67,282.83,91.9,286.55,340.82,437.91,355.02,297.27,407.18,108.78,267.44,51.14,92.45,87.2,105.94,197.75,174.38,234.97,139.9,335.19,120.74,93.17,103.03,498.61,111.52,354.69,285.86,307.66,265.4,111.43,214.1,403.3,552.1
hsa-miR-182-5p,25098.87,24925.87,42895.23,20545.56,10713.26,15740.52,16287.24,8176.97,19603.2,25946.04,1345.56,7452.84,19586.77,20933.06,4263.07,11783.89,7510.9,9386.4,22479.88,27439.99,13291.6,5750.41,9389.98,3522.65,18397.2,17877.04,2291.64,2988.96,11896.53,14326.34,86411.92,13291.8,42084.24,37966.9,49446.73
hsa-miR-374b-5p,93.84,77.88,56.16,61.93,76.45,70.06,70.56,87.32,62.55,54.44,119.16,120.41,54.3,54.06,48.42,63.87,120.42,92.13,58.64,66.22,79.29,6.91,66.72,47.9,81.32,71.99,75.47,38.64,81.02,75.2,173.25,96.33,131.68,70.27,100.23
hsa-miR-496,48.02,3.13,2.02,1.31,2.59,1.49,1.44,1.02,1.58,1.58,41.6,5.77,2.3,0.63,0.51,0.35,5.43,4.74,2.04,2.3,4.2,1.54,6.07,117.79,0.8,1.29,16.62,2.43,1.72,1.68,51.53,0.44,3.25,1.38,25.44
hsa-miR-134-5p,3375.72,289.63,421.02,212.68,259.74,311.64,304.57,102.25,201.0,244.65,1647.95,410.0,340.95,90.54,136.04,43.76,398.23,451.23,253.83,340.59,373.87,473.4,459.73,2876.07,115.53,284.03,1501.71,459.04,237.47,225.97,3177.21,66.04,489.39,222.48,1410.81
hsa-miR-490-3p,2.64,11.35,0.17,0.33,1.98,3.61,3.88,0.37,2.8,4.01,81.02,11.35,0.11,0.14,0.03,0.03,10.69,1.74,0.64,0.9,0.3,1.1,2.38,1.89,1.71,4.69,11.42,0.18,14.97,11.13,15.17,0.04,0.55,5.03,7.99
hsa-miR-196b-5p,181.09,553.73,384.79,768.5,91.65,2340.05,2775.8,239.67,374.73,1823.84,3.45,67.75,179.99,530.74,1399.89,914.12,68.36,83.57,124.77,467.86,174.69,65.22,115.48,183.68,656.07,4042.93,1065.28,568.08,578.22,514.06,558.51,22.1,1985.68,3739.24,2837.6
hsa-miR-130a-3p,56.77,100.25,83.77,136.16,92.75,23.77,26.25,47.07,77.64,95.62,67.95,67.06,81.95,43.17,92.2,72.46,67.05,61.13,76.73,107.59,230.13,61.06,77.36,31.85,65.35,33.46,116.74,97.19,67.14,70.45,420.77,173.83,303.97,217.8,638.68
hsa-miR-504-5p,0.67,0.65,1.67,0.36,1.12,0.45,0.44,1.05,0.57,1.45,13.83,4.15,0.53,1.41,1.23,1.1,4.06,1.16,2.38,0.98,0.65,10.31,0.72,2.49,2.7,0.42,1.61,2.72,0.69,0.65,4.37,0.82,7.22,1.39,2.97
hsa-miR-301a-3p,17.05,17.15,11.25,11.7,5.76,4.26,4.63,17.23,11.5,11.74,18.5,18.37,9.75,2.75,7.67,6.99,18.37,7.48,9.93,15.25,12.55,0.07,5.85,28.34,4.05,5.71,12.86,5.87,8.45,9.41,26.44,10.54,18.7,17.66,86.05
hsa-miR-873-5p,0.57,0.52,0.12,0.37,0.03,0.04,0.04,0.11,0.33,0.15,18.48,1.91,0.39,0.28,0.15,0.13,1.75,0.08,0.42,0.71,0.24,0.06,0.3,2.43,0.2,0.04,0.75,4.13,0.19,0.23,2.36,1.23,0.83,0.94,0.86
hsa-miR-485-5p,7.6,0.32,0.33,0.22,0.18,0.38,0.38,0.14,0.39,0.16,16.76,1.86,0.31,0.08,0.12,0.05,1.72,0.56,0.55,0.28,0.7,3.43,0.81,32.62,0.23,0.37,2.28,0.37,0.39,0.39,3.37,0.1,1.04,0.28,1.29
hsa-miR-199a-5p,334.1,777.45,1531.44,816.56,1439.5,404.75,430.46,609.14,595.94,1366.11,30.69,27.67,703.67,312.81,383.22,225.43,27.64,675.7,783.78,1170.12,1355.33,304.84,2226.13,286.88,564.16,505.24,4997.46,997.51,642.84,628.05,4058.41,541.29,507.03,848.49,8574.87
hsa-miR-346,0.87,0.9,0.19,0.13,0.82,0.06,0.07,0.38,0.13,0.2,29.04,7.43,0.14,0.04,0.22,0.17,7.22,0.39,0.17,0.14,0.21,0.88,0.27,8.96,0.09,0.1,0.46,0.51,0.12,0.12,0.17,2.45,0.14,0.13,0.69
hsa-miR-144-3p,9.17,10.34,5.07,25.17,11.83,6.98,6.61,20.09,7.82,12.82,29.67,14.31,16.05,31.83,18.21,21.76,14.17,20.06,15.55,17.38,7.76,0.07,4.26,15.75,1.45,5.54,5.0,2.39,8.35,8.18,21.4,23.31,11.98,9.29,3.14
hsa-miR-378c,7.08,9.87,5.97,9.49,8.67,0.0,0.0,17.34,10.63,8.5,4.19,1.18,13.3,5.98,11.06,7.42,1.15,21.81,5.65,6.06,15.81,0.0,5.01,4.29,6.66,0.0,8.19,18.31,13.07,12.3,11.27,3.87,15.79,7.24,3.42
hsa-miR-143-3p,24928.5,155785.58,53523.0,76948.09,38664.0,261080.97,255223.2,28383.58,145784.14,52980.92,25424.91,10255.5,84246.94,42897.77,78510.57,27687.89,10101.8,51342.73,111565.28,67779.8,26423.23,7312.44,73081.86,68882.05,363794.43,238189.45,202772.67,41167.39,224833.51,199910.3,56368.93,85105.63,18731.68,77762.21,14920.02
hsa-miR-376b-3p,38.41,2.91,0.87,1.55,2.31,0.94,0.99,0.67,1.86,0.8,3.94,1.29,1.49,0.51,0.41,0.34,1.27,3.28,1.02,1.86,4.44,0.02,3.14,6.33,0.64,1.13,9.91,0.41,1.66,1.72,46.94,0.3,1.92,1.28,21.25
hsa-miR-125b-5p,925.44,445.5,1047.0,816.96,768.27,256.32,263.14,441.41,381.26,826.83,4773.09,3524.64,505.62,1327.57,616.62,546.11,3512.77,646.59,592.7,691.03,1505.42,3425.03,1181.09,1340.35,1396.6,282.97,1749.64,1855.92,521.86,477.53,1419.3,4204.27,7412.15,1282.74,2086.39
