lncRNA名称 adipose adrenal brain brain_R breast colon foreskin_R heart hela_R HLF_1_R HLF_2_R kidney liver liver_R lung lymphNode ovary placenta_R prostate skeltalMuscle testis testis_R thyroid leukocyte
NONHSAT002162.2 8.08345 5.90061 6.46851 14.8975 6.7965 4.68733 5.31196 13.5088 8.76081 9.44361 9.47464 6.90843 6.80063 2.88716 5.27277 6.27722 6.48128 11.1562 6.95484 19.0547 16.3169 23.3264 9.84103 10.3685
NONHSAT002268.2 0.0828064 0.317332 0.0709453 0.317295 0.574664 0.0 0.0 0.178195 0.0 0.0 0.0 0.619861 0.0 0.0 0.0 0.216335 0.0708353 0.918659 0.0 0.0 0.0 0.790938 0.138002 0.0
NONHSAT002393.2 0.0 0.15024 0.124515 0.0 0.0 0.0 0.0 0.177691 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
NONHSAT002394.2 2.2897 0.0 0.109891 0.228885 0.270314 0.0 0.0 0.0 0.788208 0.0 0.0 0.407263 0.0 0.465146 0.0 0.0 0.580357 0.0 0.0 0.0 0.0 0.180506 0.45474 0.0
NONHSAT002644.2 0.0427216 0.437078 0.42291 0.132892 0.173125 0.248521 0.182289 0.174312 0.172307 0.4045 0.250141 0.449907 0.0313005 0.0404192 0.0737733 0.323764 0.736764 0.146564 0.442433 0.010406 0.650835 0.609362 0.683375 0.0942818
NONHSAT002818.2 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.140339 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.00017082 0.0 0.0
NONHSAT002819.2 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
NONHSAT002820.2 1.81489 6.36082 3.84678 4.1038 4.70767 4.06213 3.69007 3.14998 3.12944 7.33198 4.90354 4.74311 3.53618 1.60664 3.57626 5.39983 4.76081 5.47265 5.22747 1.55382 3.29306 3.97631 3.57907 7.09127
NONHSAT002854.2 0.0162601 0.0 0.0 0.0 0.417599 0.0 0.0 0.0518008 0.416679 0.0 0.0 0.511286 0.564692 0.037657 0.0 0.0 0.0 0.232096 0.0 0.0 0.024968 0.285057 0.248538 0.0
NONHSAT002857.2 0.0 0.0 0.0 0.0 0.0 0.0 0.473818 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0902462 0.0 0.0 0.28583 0.134913 0.0 0.0
NONHSAT002858.2 0.0 0.0 0.0430953 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
NONHSAT002859.2 0.0 0.168273 0.0 0.0 0.0 0.0 0.118382 0.0 0.287134 0.35773 0.294961 0.259398 0.0 0.0 0.0 0.0 0.0934052 0.0 0.456631 0.0 1.66947 0.0 0.0 0.0
NONHSAT002872.2 0.0 0.0 0.0 0.000120377 0.0862189 0.0 0.00017477 0.292277 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.948302 0.0 0.0
NONHSAT002966.2 1.40729 0.0538445 0.000130013 4.63163 0.310062 0.908674 0.00973178 1.52338 0.40556 2.29404 1.45107 1.9349 1.42179 0.337077 1.34684 1.30679 0.177329 0.36332 3.9306 2.47395 3.81746 0.65243 1.66779 2.24554
NONHSAT003081.2 0.828703 0.396567 0.00736493 0.112336 0.471056 2.6578 0.0939537 0.0388171 0.952726 0.246309 0.186323 0.573468 0.0736356 0.0 1.40251 2.52193 0.161685 0.160187 0.75349 0.436754 0.883677 0.383879 0.185615 0.884503
NONHSAT003101.2 0.0 0.608709 0.0 0.0 0.0 0.257971 0.0 0.185977 1.16847 0.0 0.0 10.7413 0.102133 0.418885 0.549647 0.0344827 0.0 0.251261 0.458711 0.384758 0.000264331 0.0 0.0 0.0
NONHSAT003144.2 0.0 0.0 0.0 0.068102 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.17605 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0826009 0.115177 0.0 0.0
NONHSAT003396.2 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3.70187 4.60752 0.0 0.0
NONHSAT003397.2 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.875747 0.0 0.0
NONHSAT003398.2 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.469306 1.05676 0.0 0.0
NONHSAT003590.2 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.00067341 0.0 0.0 0.00131294 0.000398315 0.0226705 0.0418736 0.0 0.0102242 0.0276179 0.00860306 0.00196774
NONHSAT003887.2 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
NONHSAT003888.2 0.0482356 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
NONHSAT003890.2 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
NONHSAT003891.2 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.233991 0.0 8.02025 0.0 0.0 0.0
NONHSAT003894.2 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.191292 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0437976 0.0 0.0 0.0
NONHSAT003895.2 0.0 0.0 0.0 0.0672562 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.325622 0.0 0.0 0.0
NONHSAT003899.2 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0365543 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.486413 0.0 0.0 0.0 0.0 0.0 0.0 0.0685866 0.0
NONHSAT003900.2 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
NONHSAT003901.2 0.0 0.0 0.0 0.0 0.0489085 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
NONHSAT003903.2 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0618615 0.0 0.0
NONHSAT003904.2 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.116257 0.0 0.0 0.0 0.0 0.0 0.0 0.0
NONHSAT003905.2 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.198688 0.0 0.0 0.0 0.0 0.0 0.0 0.0
