lncRNA名称 adipose adrenal brain brain_R breast colon foreskin_R heart hela_R HLF_1_R HLF_2_R kidney liver liver_R lung lymphNode ovary placenta_R prostate skeltalMuscle testis testis_R thyroid leukocyte
NONHSAT003398.2 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.469306 1.05676 0.0 0.0
NONHSAT003887.2 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
NONHSAT003888.2 0.0482356 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
NONHSAT003895.2 0.0 0.0 0.0 0.0672562 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.325622 0.0 0.0 0.0
NONHSAT003905.2 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.198688 0.0 0.0 0.0 0.0 0.0 0.0 0.0
NONHSAT004491.2 0.226793 0.0 0.0968772 0.0 0.0 0.313924 0.0 0.614363 0.359235 0.0 0.0 0.475001 0.0 0.0 0.0 0.0 0.236719 0.0206027 0.0 0.0 0.862895 0.0 0.117034 0.898798
NONHSAT004492.2 3.89368 1.87659 0.0 0.0 0.0 0.328206 0.325355 0.0 0.0 1.47852 0.803264 2.59681 0.0 0.0 0.0 0.528594 1.68451 0.0 0.0 0.0 0.0 0.0 2.07012 0.0
NONHSAT004493.2 0.0 0.0 0.0 0.0 0.9458 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
NONHSAT004495.2 0.0 0.260648 0.0 0.0 0.311916 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.00828417 0.0 0.0 0.855084 0.0 0.0 0.0 1.51204 0.0 0.0
NONHSAT004498.2 0.0 0.0 0.486507 0.0 0.139752 0.0 0.505603 0.0 0.0 0.366509 0.671317 0.243689 0.0 0.0 0.0 0.497599 0.0 0.093921 0.287267 0.0 0.385506 0.0 0.0 0.0
NONHSAT004499.2 0.0 0.0 0.101027 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0161627 0.0 0.0 0.0 0.0782833 0.0 1.20458 0.0 0.0394148 0.0 0.306677 0.0
NONHSAT004500.2 0.0 0.0 0.0 0.0 0.0 0.560143 0.0 0.493271 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
NONHSAT004502.2 0.0 0.0 0.0 0.0 0.127673 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
NONHSAT004506.2 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.276758 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
NONHSAT004509.2 0.0 0.0 0.0 0.0 0.0 0.140175 0.0 0.0 0.0 0.0 0.0 0.892986 0.0 0.0 0.0 0.0 0.56746 0.0 0.0 0.0 0.617844 0.142579 0.0 0.0
NONHSAT004511.2 0.0 0.0 0.0 0.0 0.785124 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.260231 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.545924 0.0
NONHSAT004513.2 0.0 0.242408 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0034533 0.0 0.0 0.520995 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
NONHSAT004528.2 0.0 0.0 0.301626 0.0 0.0 0.0 0.0 0.0 0.371618 0.0 0.0 0.0 0.0 0.0 0.251728 0.0 0.64014 0.0 0.0 0.314594 0.0 0.493385 0.0 0.0
NONHSAT004776.2 0.0 2.48539 1.43797 0.690271 0.136201 0.0 0.0 0.328277 1.18757 0.180658 0.178235 0.716775 0.302636 0.0 0.0 2.14841 0.584793 0.889257 2.47831 1.0871 2.94367 1.63173 0.916527 2.43011
NONHSAT004829.2 0.0 0.0596436 0.0 0.0 0.0 0.143373 0.239696 0.0 0.0 0.0 0.0 0.0139031 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.22771 0.0 0.0 0.0
NONHSAT005142.2 0.0806573 3.76955 1.93322 2.06309 0.36233 0.17536 0.0 0.0959449 0.0 0.0611847 0.0302644 0.245081 0.263925 0.0 3.55685 14.8112 0.438012 0.0586203 0.250722 0.0 0.351739 0.141378 0.118371 12.9982
NONHSAT005182.2 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.109675 0.810536 0.0 0.0 0.17917 0.0 0.0 0.0
NONHSAT005183.2 0.962246 2.88975 2.25011 0.0892506 1.32663 2.41008 0.767229 6.43529 3.13568 2.48848 3.19007 0.642558 2.68905 0.0115843 1.65567 0.574183 3.1676 0.00110787 3.59403 1.15758 5.238 1.57441 3.8843 0.000101733
NONHSAT005285.2 0.0 0.1622 0.30678 0.408966 0.104797 0.599774 0.0 0.0 0.0 0.0 0.0 0.166104 0.0 0.0 0.921792 0.7283 0.161465 0.0 0.749352 0.0287183 0.470052 0.701303 0.0 0.0
NONHSAT005534.2 0.0 0.0874229 0.0 0.0 0.127317 0.0653586 0.0 0.0736261 0.0 0.0 0.0 0.0 0.0616744 0.0 0.0 0.265174 0.0362238 0.0 0.0790976 0.0 0.1253 0.0 0.109642 0.0
NONHSAT006726.2 0.0 0.0 0.0 0.0 0.0883408 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.00975787 0.0 0.176213 0.0 0.0141793 0.0 0.0 0.0 0.0 0.0
NONHSAT006743.2 0.0 0.0 0.10152 0.0 0.148805 0.0 0.0 0.0 0.0 0.0 0.000140678 0.0 0.0 0.0 0.0 0.319468 0.217927 0.255489 0.0 0.0 0.0 0.399901 0.612317 0.252408
NONHSAT006744.2 0.763925 1.17212 0.48504 0.259655 0.00134645 0.39849 0.0 0.208525 0.424107 0.242067 0.0 0.828631 0.04135 0.141041 2.63547 0.776039 0.157845 0.0 0.424207 0.34026 1.60686 0.556514 1.84486 1.24291
NONHSAT006907.2 0.0 0.107808 0.662464 0.0 0.0 0.0 0.0 0.341718 0.0 0.0 0.0 0.777371 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0118424 0.223634 0.249024 0.0
NONHSAT007250.2 0.0 0.447681 0.0 0.532298 0.0 0.241681 0.0 0.0456655 0.0 0.210536 0.364253 0.560727 0.0 0.0 0.0 0.0 1.41866 0.00137462 0.621898 0.0 2.53554 1.73843 0.2519 0.0
NONHSAT007251.2 0.0 0.0 0.378841 0.0 0.179839 0.446992 0.211433 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
NONHSAT007257.2 0.672203 0.145938 0.0 0.0 0.386296 0.0 0.0 0.322715 0.0 0.0 0.0 0.0 0.000466675 0.0 0.285482 1.20389 0.354176 0.0 0.0 0.0 0.410856 0.0 0.616621 0.0
NONHSAT007662.2 0.0 0.499355 0.419887 2.94439 2.39825 0.0 4.93861 0.0 0.0 0.584047 0.0953719 0.0 0.0 0.0 0.0 3.67629 2.99129 4.37189 2.85506 1.87464 1.70496 0.115866 1.55326 23.9053
NONHSAT007664.2 0.000227862 0.0 0.0 0.0 0.0 0.0 1.04553 0.0 1.60578 0.000402143 0.0 0.0 0.696245 0.150178 2.88358 0.0 0.0 1.02655 0.00282777 0.0 0.0 0.0 0.0 0.0
NONHSAT007667.2 0.0 2.89083 0.0518154 0.000632641 3.62721 0.323765 4.5338 0.0 1.27221 7.00337 2.67816 0.0 0.0 0.0 0.0 0.0 5.92059 0.0 1.39051 0.0 1.01962 0.0 0.375043 0.022148
